queryIssue,directI,parentI,gparentI,parentA,gparentA,zoek1,,,,
aardgasbaten,pos,begrotingssaldo,issue,,,,,,,
ambtenarensal*,neg,begrotingssaldo,issue,,,,,,,
begrotingsdiscipline,pos,begrotingssaldo,issue,,,,,,,
begrotingsnorm,pos,begrotingssaldo,issue,,,,,,,
begrotingsoverschot,pos,begrotingssaldo,issue,,,,,,,
begrotingstekort*,neg,begrotingssaldo,issue,,,,,,,
belastinginkomsten,pos,begrotingssaldo,issue,,,,,,,
belastingmeevaller*,pos,begrotingssaldo,issue,,,,,,,
bezuiniging*,pos,begrotingssaldo,issue,,,,,,,
budgetneutra*,pos,begrotingssaldo,issue,,,,,,,
financieringstekort,neg,begrotingssaldo,issue,,,,,,,
inflatie,neg,begrotingssaldo,issue,,,,,,,
kaasschaaf,pos,begrotingssaldo,issue,,,,,,,
overheidsfinancien,pos,begrotingssaldo,issue,,,,,,,
overheidsschuld,neg,begrotingssaldo,issue,,,,,,,
overheidsuitgaven,neg,begrotingssaldo,issue,,,,,,,
schatkist,pos,begrotingssaldo,issue,,,,,,,
schuldenlast,neg,begrotingssaldo,issue,,,,,,,
staatsobligaties,neg,begrotingssaldo,issue,,,,,,,
staatsschuld,neg,begrotingssaldo,issue,,,,,,,
*belasting,pos,belastHeffing,issue,,,,,,,
accountant*,pos,belastHeffing,issue,bedrijven,society,,,,,
afvalstoffenheffing,pos,belastHeffing,issue,,,,,,,
belasting,pos,belastHeffing,issue,,,,,,,
belastingaangifte,pos,belastHeffing,issue,,,,,,,
belastingadviseur*,neg,belastHeffing,issue,bedrijven,society,,,,,
belastingafdracht,pos,belastHeffing,issue,,,,,,,
belastingaftrek,neg,belastHeffing,issue,,,,,,,
belastingconstructie*,neg,belastHeffing,issue,,,,,,,
belastingdruk,pos,belastHeffing,issue,,,,,,,
belastingen,pos,belastHeffing,issue,,,,,,,
belastingfraude,neg,belastHeffing,issue,,,,,,,
belastingheffing,pos,belastHeffing,issue,,,,,,,
belastinginning,pos,belastHeffing,issue,,,,,,,
belastingontduiking,neg,belastHeffing,issue,,,,,,,
belastingontwijking,neg,belastHeffing,issue,,,,,,,
