query,issue,category,query_preprocessed,vocab
3 procent,EuropeseUnie,original,procent,True
60 procent,EuropeseUnie,original,procent,True
brexit,EuropeseUnie,original,brexit,True
coronaherstelfonds,EuropeseUnie,original,coronaherstelfonds,True
ECB,EuropeseUnie,original,ecb,True
EMA,EuropeseUnie,original,ema,True
EU,EuropeseUnie,original,eu,True
europarlementarier,EuropeseUnie,expanded,europarlementarier,True
europarlementariers,EuropeseUnie,expanded,europarlementariers,True
europarlementarier*,EuropeseUnie,wildcard,europarlementarier,True
Europe* Parlement,EuropeseUnie,wildcard,europe parlement,False
Europees Medicijn Agentschap,EuropeseUnie,original,europees medicijn agentschap,False
Europese Centrale Bank,EuropeseUnie,original,europese centrale bank,False
Europese Commissie,EuropeseUnie,original,europese commissie,False
Europese regeringsleiders,EuropeseUnie,original,europese regeringsleiders,False
Europese Unie,EuropeseUnie,original,europese unie,False
eurosceptische,EuropeseUnie,expanded,eurosceptische,True
eurosceptici,EuropeseUnie,expanded,eurosceptici,True
euroscepsis,EuropeseUnie,expanded,euroscepsis,True
euroscepticus,EuropeseUnie,expanded,euroscepticus,True
eurosceptisch,EuropeseUnie,expanded,eurosceptisch,True
eurosceptischer,EuropeseUnie,expanded,eurosceptischer,True
euroscepticisme,EuropeseUnie,expanded,euroscepticisme,True
euroscepcis,EuropeseUnie,expanded,euroscepcis,True
eurosceptischere,EuropeseUnie,expanded,eurosceptischere,True
euroscepsisme,EuropeseUnie,expanded,euroscepsisme,True
euroscep*,EuropeseUnie,wildcard,euroscep,False
eurozone,EuropeseUnie,original,eurozone,True
geneesmiddelenbureau,EuropeseUnie,original,geneesmiddelenbureau,True
herstelfonds,EuropeseUnie,original,herstelfonds,True
Hof van Justitie,EuropeseUnie,original,hof van justitie,False
lidstaten,EuropeseUnie,original,lidstaten,True
medicijnagentschap,EuropeseUnie,original,medicijnagentschap,True
meerjarenbegroting,EuropeseUnie,original,meerjarenbegroting,True
Nexit,EuropeseUnie,original,nexit,True
raad van ministers,EuropeseUnie,original,raad van ministers,False
chipkaart,Infrastructuur,expanded,chipkaart,True
ovchipkaart,Infrastructuur,expanded,ovchipkaart,True
studentenchipkaart,Infrastructuur,expanded,studentenchipkaart,True
wegwerpchipkaart,Infrastructuur,expanded,wegwerpchipkaart,True
bankchipkaart,Infrastructuur,expanded,bankchipkaart,True
